date,months,strat_gross,strat_net,bench_gross,bench_net,alpha_net,bucket
2026-01-29,7.1616294349540075,3.2810224471302276,2.9291539569479697,3.7493290493731264,3.396975372008846,-0.46782141506087616,6-8m
2026-01-30,7.128777923784494,1.8364182379750837,1.4860464242053015,3.8921975753262052,3.5396958795970677,-2.053649455391766,6-8m
2026-02-02,7.030223390275952,-8.292799236335052,-8.632676714857443,5.065023098700858,4.711306301779537,-13.34398301663698,6-8m
2026-02-03,6.9973718791064385,10.013371016670355,9.65452750368202,2.2913213150199283,1.9404782007367887,7.714049302945232,6-8m
2026-02-04,6.964520367936925,9.496330912173415,9.138023076517184,1.81335863597238,1.4630107130110206,7.675012363506164,6-8m
2026-02-05,6.931668856767411,-1.7530918706078453,-2.099744786787671,1.9408022527359077,1.5903222923251754,-3.690067079112846,6-8m
2026-02-06,6.898817345597897,5.1029899044141995,4.749233772135691,2.0647163021395274,1.7141079610735726,3.035125811062118,6-8m
2026-02-09,6.800262812089356,7.618668209656289,7.262305718932351,1.0829989338600214,0.7334076971465836,6.528898021785768,6-8m
2026-02-10,6.767411300919842,3.7603987477809824,3.4080336016999366,0.944157078454803,0.5947096882903046,2.813323913409632,6-8m
2026-02-11,6.734559789750328,6.812596017908419,6.457068655054445,0.656524671530952,0.30737528177110673,6.1496933732833385,6-8m
2026-02-12,6.701708278580814,4.745936922266092,4.392550713301529,1.2322864750654487,0.8825405695921097,3.5100101437094193,6-8m
2026-02-13,6.668856767411301,2.79223015725133,2.4408680783658303,2.736599019411592,2.385294576943922,0.05557350142190831,6-8m
2026-02-16,6.570302233902759,5.103244100786697,4.749487705149056,1.8579761137871442,1.5075819650663689,3.2419057400826867,6-8m
2026-02-17,6.5374507227332455,-10.823983130092838,-11.161238185666841,1.440611031957007,1.0906492926597848,-12.251887478326626,6-8m
2026-02-18,6.504599211563732,-4.328056255931736,-4.672041390560002,1.043935466056668,0.6943847008928089,-5.366426091452811,6-8m
2026-02-19,6.471747700394218,-7.9682296260756775,-8.308443373644502,2.6138274968769686,2.26265025135414,-10.571093624998642,6-8m
2026-02-20,6.438896189224704,-10.055011563493881,-10.393063308983574,1.9721934008048414,1.6216809177206963,-12.01474422670427,6-8m
2026-02-23,6.340341655716163,-0.8098701352374651,-1.1575002725233319,1.9113941124158154,1.5609446201912236,-2.7184448927145555,6-8m
2026-02-24,6.307490144546649,-1.855370196904298,-2.2019171480332727,2.4290740473684713,2.078088214917991,-4.280005362951264,6-8m
2026-02-25,6.274638633377135,-1.4411168440710427,-1.7880929807292119,1.6870380675888248,1.3368210185470568,-3.1249139992762687,6-8m
2026-02-26,6.241787122207621,1.240440989556728,0.8906866356312648,1.3456503425120485,0.9957869868572882,-0.10510035122602335,6-8m
